-183.585, 77.730, 1.835,  1.765
-183.579, 77.669, 1.837,  1.798
-183.573, 77.608, 1.839,  1.831
-183.567, 77.547, 1.843,  1.864
-183.561, 77.485, 1.847,  1.897
-183.555, 77.424, 1.852,  1.930
-183.549, 77.362, 1.858,  1.963
-183.543, 77.301, 1.864,  1.996
-183.537, 77.239, 1.870,  2.029
-183.530, 77.176, 1.877,  2.062
-183.524, 77.114, 1.883,  2.095
-183.518, 77.051, 1.890,  2.128
-183.512, 76.988, 1.896,  2.161
-183.505, 76.925, 1.902,  2.194
-183.499, 76.862, 1.907,  2.227
-183.493, 76.799, 1.912,  2.260
-183.486, 76.735, 1.918,  2.293
-183.480, 76.671, 1.922,  2.326
-183.473, 76.608, 1.927,  2.359
-183.467, 76.543, 1.932,  2.392
-183.461, 76.479, 1.936,  2.425
-183.454, 76.415, 1.941,  2.458
-183.448, 76.350, 1.946,  2.491
-183.441, 76.286, 1.951,  2.524
-183.435, 76.221, 1.956,  2.557
-183.428, 76.156, 1.961,  2.590
-183.422, 76.091, 1.966,  2.623
-183.415, 76.025, 1.971,  2.656
-183.409, 75.960, 1.977,  2.689
-183.403, 75.894, 1.983,  2.722
-183.396, 75.828, 1.989,  2.755
-183.390, 75.762, 1.994,  2.788
-183.383, 75.696, 2.000,  2.821
-183.377, 75.629, 2.006,  2.854
-183.370, 75.563, 2.012,  2.887
-183.364, 75.496, 2.018,  2.920
-183.357, 75.429, 2.024,  2.953
-183.350, 75.361, 2.030,  2.986
-183.344, 75.294, 2.036,  3.019
-183.337, 75.226, 2.042,  3.052
-183.331, 75.158, 2.048,  3.085
-183.324, 75.090, 2.054,  3.118
-183.318, 75.022, 2.061,  3.151
-183.311, 74.953, 2.067,  3.184
-183.305, 74.884, 2.073,  3.217
-183.298, 74.815, 2.079,  3.250
-183.292, 74.746, 2.085,  3.283
-183.285, 74.677, 2.091,  3.316
-183.279, 74.607, 2.097,  3.349
-183.272, 74.538, 2.104,  3.382
-183.266, 74.468, 2.110,  3.415
-183.259, 74.397, 2.117,  3.448
-183.253, 74.327, 2.123,  3.481
-183.246, 74.256, 2.129,  3.514
-183.240, 74.185, 2.136,  3.547
-183.234, 74.114, 2.143,  3.580
-183.227, 74.043, 2.149,  3.613
-183.221, 73.972, 2.156,  3.646
-183.214, 73.900, 2.163,  3.679
-183.208, 73.828, 2.169,  3.712
-183.201, 73.756, 2.176,  3.745
-183.195, 73.683, 2.183,  3.778
-183.189, 73.611, 2.190,  3.811
-183.182, 73.538, 2.197,  3.844
-183.176, 73.465, 2.203,  3.877
-183.170, 73.391, 2.210,  3.910
-183.163, 73.318, 2.217,  3.943
-183.157, 73.244, 2.224,  3.976
-183.151, 73.170, 2.231,  4.009
-183.144, 73.095, 2.238,  4.042
-183.138, 73.021, 2.245,  4.075
-183.132, 72.946, 2.252,  4.108
-183.126, 72.871, 2.259,  4.141
-183.119, 72.796, 2.267,  4.174
-183.113, 72.720, 2.274,  4.207
-183.107, 72.645, 2.281,  4.240
-183.101, 72.569, 2.288,  4.273
-183.095, 72.493, 2.295,  4.306
-183.088, 72.416, 2.303,  4.339
-183.082, 72.339, 2.310,  4.372
-183.076, 72.262, 2.317,  4.405
-183.070, 72.185, 2.325,  4.438
-183.064, 72.108, 2.332,  4.471
-183.058, 72.030, 2.339,  4.504
-183.052, 71.952, 2.347,  4.537
-183.046, 71.874, 2.354,  4.570
-183.040, 71.796, 2.362,  4.603
-183.034, 71.717, 2.369,  4.636
-183.028, 71.638, 2.377,  4.669
-183.022, 71.559, 2.384,  4.702
-183.016, 71.479, 2.392,  4.735
-183.010, 71.400, 2.400,  4.768
-183.004, 71.320, 2.408,  4.801
-182.998, 71.239, 2.415,  4.834
-182.992, 71.159, 2.423,  4.867
-182.986, 71.078, 2.431,  4.900
-182.981, 70.997, 2.439,  4.933
-182.975, 70.916, 2.447,  4.966
-182.969, 70.834, 2.454,  4.999
-182.963, 70.752, 2.462,  5.032
-182.958, 70.670, 2.470,  5.065
-182.952, 70.588, 2.478,  5.098
-182.946, 70.505, 2.486,  5.131
-182.940, 70.423, 2.494,  5.164
-182.935, 70.339, 2.503,  5.197
-182.929, 70.256, 2.511,  5.230
-182.924, 70.172, 2.519,  5.263
-182.918, 70.088, 2.527,  5.296
-182.912, 70.004, 2.535,  5.329
-182.907, 69.919, 2.544,  5.362
-182.901, 69.835, 2.552,  5.395
-182.896, 69.749, 2.560,  5.428
-182.890, 69.664, 2.568,  5.461
-182.885, 69.578, 2.577,  5.494
-182.879, 69.493, 2.585,  5.527
-182.874, 69.406, 2.593,  5.560
-182.869, 69.320, 2.602,  5.593
-182.863, 69.233, 2.610,  5.626
-182.858, 69.146, 2.619,  5.659
-182.852, 69.059, 2.627,  5.692
-182.847, 68.971, 2.636,  5.725
-182.842, 68.883, 2.644,  5.758
-182.837, 68.795, 2.653,  5.791
-182.831, 68.706, 2.662,  5.824
-182.826, 68.618, 2.670,  5.857
-182.821, 68.529, 2.679,  5.890
-182.816, 68.439, 2.688,  5.923
-182.811, 68.349, 2.697,  5.956
-182.806, 68.259, 2.706,  5.989
-182.800, 68.169, 2.715,  6.022
-182.795, 68.079, 2.724,  6.055
-182.790, 67.988, 2.732,  6.088
-182.785, 67.897, 2.741,  6.121
-182.780, 67.805, 2.750,  6.154
-182.775, 67.713, 2.759,  6.187
-182.770, 67.621, 2.768,  6.220
-182.765, 67.529, 2.777,  6.253
-182.760, 67.436, 2.787,  6.286
-182.756, 67.343, 2.796,  6.319
-182.751, 67.250, 2.805,  6.352
-182.746, 67.156, 2.814,  6.385
-182.741, 67.062, 2.824,  6.418
-182.736, 66.968, 2.833,  6.451
-182.731, 66.874, 2.842,  6.484
-182.727, 66.779, 2.852,  6.517
-182.722, 66.684, 2.861,  6.550
-182.717, 66.588, 2.871,  6.583
-182.712, 66.492, 2.880,  6.616
-182.708, 66.396, 2.890,  6.649
-182.703, 66.300, 2.899,  6.682
-182.698, 66.203, 2.909,  6.715
-182.694, 66.106, 2.918,  6.748
-182.689, 66.008, 2.928,  6.781
-182.685, 65.911, 2.938,  6.814
-182.680, 65.813, 2.948,  6.847
-182.676, 65.714, 2.957,  6.880
-182.671, 65.615, 2.967,  6.913
-182.667, 65.516, 2.977,  6.946
-182.662, 65.417, 2.987,  6.979
-182.658, 65.317, 2.996,  7.012
-182.653, 65.217, 3.006,  7.045
-182.649, 65.117, 3.016,  7.078
-182.645, 65.016, 3.026,  7.111
-182.640, 64.915, 3.036,  7.144
-182.636, 64.814, 3.046,  7.177
-182.632, 64.712, 3.056,  7.210
-182.627, 64.610, 3.067,  7.243
-182.623, 64.508, 3.077,  7.276
-182.619, 64.405, 3.087,  7.309
-182.615, 64.302, 3.097,  7.342
-182.610, 64.198, 3.108,  7.375
-182.606, 64.095, 3.118,  7.408
-182.602, 63.990, 3.128,  7.441
-182.598, 63.886, 3.139,  7.474
-182.594, 63.781, 3.149,  7.507
-182.590, 63.676, 3.159,  7.540
-182.586, 63.571, 3.170,  7.573
